   "X m"          "Y m"          "Z m"        "U m/s"     "V m/s"        "W m/s"     "uu m^2/s^2" "vv m^2/s^2"   "uv m^2/s^2" 
-0.1860628000  0.0413528000  0.1800000000  6.7114811000  0.0486304000  0.0319332000  0.7455971000  0.1724155000 -0.1446517000
-0.1835207000  0.0413528000  0.1800000000  6.7142944000  0.0514910000  0.0463673000  0.7481655000  0.1730562000 -0.1474576000
-0.1809785000  0.0413528000  0.1800000000  6.7176123000  0.0522631000  0.0576945000  0.7516984000  0.1746596000 -0.1503631000
-0.1784364000  0.0413528000  0.1800000000  6.7200375000  0.0508931000  0.0606117000  0.7554886000  0.1753595000 -0.1512953000
-0.1758943000  0.0413528000  0.1800000000  6.7172513000  0.0474576000  0.0500992000  0.7575602000  0.1762552000 -0.1493532000
-0.1733522000  0.0413528000  0.1800000000  6.7167497000  0.0464843000  0.0465405000  0.7609330000  0.1780763000 -0.1458092000
-0.1708100000  0.0413528000  0.1800000000  6.7177467000  0.0474834000  0.0454319000  0.7616051000  0.1795855000 -0.1414423000
-0.1682679000  0.0413528000  0.1800000000  6.7187195000  0.0486896000  0.0428823000  0.7589542000  0.1798701000 -0.1375607000
-0.1657258000  0.0413528000  0.1800000000  6.7186399000  0.0488415000  0.0368258000  0.7541044000  0.1786127000 -0.1355240000
-0.1631836000  0.0413528000  0.1800000000  6.7150192000  0.0513574000  0.0361624000  0.7545198000  0.1784880000 -0.1366212000
-0.1606415000  0.0413528000  0.1800000000  6.7154603000  0.0553511000  0.0397748000  0.7614933000  0.1785825000 -0.1377072000
-0.1580994000  0.0413528000  0.1800000000  6.7157683000  0.0593313000  0.0409087000  0.7697459000  0.1787384000 -0.1385004000
-0.1555573000  0.0413528000  0.1800000000  6.7151852000  0.0643688000  0.0417777000  0.7767890000  0.1793395000 -0.1398043000
-0.1530151000  0.0413528000  0.1800000000  6.7151971000  0.0720228000  0.0476585000  0.7808924000  0.1809926000 -0.1427563000
-0.1504730000  0.0413528000  0.1800000000  6.7162881000  0.0733772000  0.0544448000  0.7778416000  0.1838555000 -0.1454360000
-0.1479309000  0.0413528000  0.1800000000  6.7167225000  0.0738478000  0.0567094000  0.7752125000  0.1847732000 -0.1440962000
-0.1453887000  0.0413528000  0.1800000000  6.7155981000  0.0743189000  0.0539432000  0.7741407000  0.1857791000 -0.1426039000
-0.1428466000  0.0413528000  0.1800000000  6.7142730000  0.0750083000  0.0493009000  0.7765268000  0.1872220000 -0.1436257000
-0.1403045000  0.0413528000  0.1800000000  6.7145791000  0.0756056000  0.0497830000  0.7850860000  0.1880692000 -0.1493722000
-0.1377624000  0.0413528000  0.1800000000  6.7150373000  0.0789461000  0.0515781000  0.7877948000  0.1872827000 -0.1523743000
