  "X m"     "Y m"     "Z m"    "U m/s"   "V m/s"    "W m/s"   "uu m^2/s^2" "vv m^2/s^2"  "uv m^2/s^2" 
 0.0766193000 0.0413528000 0.0600000000 6.7151322000 -0.0187308000 -0.0237972000 0.7290096000 0.2184476000 -0.0668893000
 0.0791602000 0.0413528000 0.0600000000 6.7070541000 -0.0222851000 -0.0288916000 0.7281041000 0.2135637000 -0.0636146000
 0.0817011000 0.0413528000 0.0600000000 6.7104607000 -0.0317505000 -0.0544102000 0.7381966000 0.2091326000 -0.0727831000
 0.0842419000 0.0413528000 0.0600000000 6.7100763000 -0.0393536000 -0.0743445000 0.7464041000 0.2079959000 -0.0781521000
 0.0867828000 0.0413528000 0.0600000000 6.7018151000 -0.0435131000 -0.0797474000 0.7471896000 0.2113680000 -0.0772281000
 0.0893237000 0.0413528000 0.0600000000 6.6934795000 -0.0492610000 -0.0796440000 0.7426732000 0.2188098000 -0.0822596000
 0.0918646000 0.0413528000 0.0600000000 6.6876702000 -0.0482353000 -0.0809928000 0.7381282000 0.2196134000 -0.0837637000
 0.0944055000 0.0413528000 0.0600000000 6.6851497000 -0.0498250000 -0.0899019000 0.7352868000 0.2214375000 -0.0838048000
 0.0969463000 0.0413528000 0.0600000000 6.6828141000 -0.0529386000 -0.0935134000 0.7353971000 0.2215819000 -0.0832840000
 0.0994872000 0.0413528000 0.0600000000 6.6792769000 -0.0548671000 -0.0898622000 0.7377064000 0.2198222000 -0.0820164000
 0.1020281000 0.0413528000 0.0600000000 6.6764898000 -0.0508529000 -0.0905614000 0.7391365000 0.2191490000 -0.0784548000
 0.1045690000 0.0413528000 0.0600000000 6.6779547000 -0.0543519000 -0.0952164000 0.7464771000 0.2219694000 -0.0781907000
 0.1071099000 0.0413528000 0.0600000000 6.6783180000 -0.0569631000 -0.0964389000 0.7482601000 0.2231491000 -0.0799400000
 0.1096507000 0.0413528000 0.0600000000 6.6773672000 -0.0601141000 -0.0967456000 0.7482235000 0.2240821000 -0.0818507000
 0.1121916000 0.0413528000 0.0600000000 6.6748614000 -0.0644403000 -0.0972626000 0.7472847000 0.2246622000 -0.0829416000
 0.1147325000 0.0413528000 0.0600000000 6.6700559000 -0.0691976000 -0.0968443000 0.7417488000 0.2223581000 -0.0833980000
 0.1172734000 0.0413528000 0.0600000000 6.6689863000 -0.0666220000 -0.0970317000 0.7414418000 0.2216167000 -0.0844029000
 0.1198142000 0.0413528000 0.0600000000 6.6625271000 -0.0720838000 -0.0971923000 0.7435882000 0.2155945000 -0.0840987000
 0.1223551000 0.0413528000 0.0600000000 6.6563549000 -0.0778406000 -0.0940297000 0.7436746000 0.2104922000 -0.0835810000
 0.1248960000 0.0413528000 0.0600000000 6.6554050000 -0.0804732000 -0.0850949000 0.7403746000 0.2098224000 -0.0834047000
 0.1274369000 0.0413528000 0.0600000000 6.6631861000 -0.0847184000 -0.0689022000 0.7374169000 0.2123930000 -0.0831040000
 0.1299778000 0.0413528000 0.0600000000 6.6638875000 -0.0835538000 -0.0734252000 0.7375844000 0.2115223000 -0.0824155000
 0.1325186000 0.0413528000 0.0600000000 6.6635218000 -0.0854677000 -0.0786018000 0.7349637000 0.2133981000 -0.0809821000
 0.1350595000 0.0413528000 0.0600000000 6.6631355000 -0.0901791000 -0.0784516000 0.7308040000 0.2161130000 -0.0796635000
 0.1376004000 0.0413528000 0.0600000000 6.6626678000 -0.0963642000 -0.0732810000 0.7270394000 0.2178310000 -0.0794844000
 0.1401413000 0.0413528000 0.0600000000 6.6604028000 -0.1016413000 -0.0735559000 0.7263639000 0.2174423000 -0.0818430000
 0.1426822000 0.0413528000 0.0600000000 6.6571703000 -0.1046212000 -0.0723850000 0.7244164000 0.2156231000 -0.0816661000
 0.1452231000 0.0413528000 0.0600000000 6.6562319000 -0.1091025000 -0.0745655000 0.7266888000 0.2174213000 -0.0803658000
 0.1477639000 0.0413528000 0.0600000000 6.6533275000 -0.1099658000 -0.0813533000 0.7299019000 0.2170612000 -0.0780592000
 0.1503048000 0.0413528000 0.0600000000 6.6475487000 -0.1063493000 -0.0915231000 0.7312434000 0.2124530000 -0.0751228000
 0.1528457000 0.0413528000 0.0600000000 6.6466618000 -0.1075227000 -0.0992760000 0.7299301000 0.2106412000 -0.0726425000
 0.1553866000 0.0413528000 0.0600000000 6.6417255000 -0.0996358000 -0.1053979000 0.7289858000 0.2135302000 -0.0722321000
 0.1579274000 0.0413528000 0.0600000000 6.6374855000 -0.1027169000 -0.1058759000 0.7298671000 0.2158983000 -0.0699479000
 0.1604683000 0.0413528000 0.0600000000 6.6354465000 -0.1035635000 -0.1030033000 0.7299256000 0.2182034000 -0.0671096000
 0.1630092000 0.0413528000 0.0600000000 6.6354265000 -0.0953135000 -0.1010611000 0.7271325000 0.2204640000 -0.0649859000
 0.1655501000 0.0413528000 0.0600000000 6.6339321000 -0.0928537000 -0.1082816000 0.7214308000 0.2203504000 -0.0637255000
 0.1680910000 0.0413528000 0.0600000000 6.6317072000 -0.0981473000 -0.1059150000 0.7221345000 0.2221299000 -0.0623682000
 0.1706318000 0.0413528000 0.0600000000 6.6297169000 -0.0944182000 -0.1106708000 0.7248912000 0.2211624000 -0.0610767000
 0.1731727000 0.0413528000 0.0600000000 6.6281500000 -0.0883321000 -0.1149494000 0.7255707000 0.2214067000 -0.0613409000
 0.1757136000 0.0413528000 0.0600000000 6.6265306000 -0.0872862000 -0.1125312000 0.7228628000 0.2254952000 -0.0641051000
 0.1782545000 0.0413528000 0.0600000000 6.6226387000 -0.0945581000 -0.1074761000 0.7231052000 0.2302224000 -0.0687544000
 0.1807954000 0.0413528000 0.0600000000 6.6191730000 -0.0912660000 -0.1029794000 0.7260172000 0.2324572000 -0.0691097000
 0.1833362000 0.0413528000 0.0600000000 6.6174197000 -0.0902772000 -0.1055822000 0.7292163000 0.2325648000 -0.0710614000
 0.1858771000 0.0413528000 0.0600000000 6.6151791000 -0.0897471000 -0.1087525000 0.7319141000 0.2318040000 -0.0721425000
 0.1884180000 0.0413528000 0.0600000000 6.6104326000 -0.0859847000 -0.1074597000 0.7336000000 0.2311226000 -0.0703441000
 0.1909589000 0.0413528000 0.0600000000 6.6066093000 -0.0747410000 -0.1067322000 0.7342771000 0.2301068000 -0.0682705000
 0.1934997000 0.0413528000 0.0600000000 6.6063738000 -0.0666478000 -0.1029305000 0.7369170000 0.2305545000 -0.0707547000
 0.1960406000 0.0413528000 0.0600000000 6.6077662000 -0.0621398000 -0.1035919000 0.7396736000 0.2311495000 -0.0722767000
 0.1985815000 0.0413528000 0.0600000000 6.6070061000 -0.0617833000 -0.1075399000 0.7441499000 0.2329028000 -0.0729410000
 0.2011224000 0.0413528000 0.0600000000 6.6023707000 -0.0631182000 -0.1112907000 0.7509620000 0.2356759000 -0.0734706000
 0.2036633000 0.0413528000 0.0600000000 6.6005964000 -0.0523850000 -0.1076608000 0.7553393000 0.2337081000 -0.0736724000
 0.2062041000 0.0413528000 0.0600000000 6.5954823000 -0.0455709000 -0.1066885000 0.7614654000 0.2326569000 -0.0736099000
 0.2087450000 0.0413528000 0.0600000000 6.5928135000 -0.0441462000 -0.1113854000 0.7641058000 0.2340881000 -0.0731478000
 0.2112859000 0.0413528000 0.0600000000 6.5902920000 -0.0436113000 -0.1157673000 0.7638611000 0.2361794000 -0.0740105000
 0.2138268000 0.0413528000 0.0600000000 6.5857592000 -0.0391211000 -0.1141133000 0.7633103000 0.2369492000 -0.0767932000
 0.2163677000 0.0413528000 0.0600000000 6.5839267000 -0.0288900000 -0.1085293000 0.7689111000 0.2364165000 -0.0758339000
 0.2189085000 0.0413528000 0.0600000000 6.5794430000 -0.0233974000 -0.1015189000 0.7682657000 0.2381538000 -0.0714768000
 0.2214494000 0.0413528000 0.0600000000 6.5743828000 -0.0221314000 -0.1000472000 0.7657074000 0.2374653000 -0.0683060000
 0.2239903000 0.0413528000 0.0600000000 6.5674467000 -0.0217312000 -0.0967488000 0.7650144000 0.2377946000 -0.0667213000
 0.2265312000 0.0413528000 0.0600000000 6.5589352000 -0.0191993000 -0.0856247000 0.7684900000 0.2414971000 -0.0664850000
 0.2290721000 0.0413528000 0.0600000000 6.5607629000 -0.0169104000 -0.0827980000 0.7716285000 0.2366710000 -0.0689136000
 0.2316129000 0.0413528000 0.0600000000 6.5570045000 -0.0133715000 -0.0832469000 0.7758197000 0.2338890000 -0.0747340000
 0.2341538000 0.0413528000 0.0600000000 6.5327826000 -0.0060239000 -0.0820154000 0.7738190000 0.2308753000 -0.0822023000
 0.2366947000 0.0413528000 0.0600000000 6.5068016000 0.0018477000 -0.0778194000 0.7681485000 0.2292205000 -0.0861733000
 0.0766193000 0.0439249000 0.0600000000 6.7551436000 -0.0270567000 -0.0380313000 0.7448585000 0.2232143000 -0.0738687000
 0.0791602000 0.0439249000 0.0600000000 6.7481670000 -0.0283586000 -0.0392600000 0.7457014000 0.2196873000 -0.0720723000
 0.0817011000 0.0439249000 0.0600000000 6.7493601000 -0.0345028000 -0.0528074000 0.7495893000 0.2193609000 -0.0769279000
 0.0842419000 0.0439249000 0.0600000000 6.7473917000 -0.0399259000 -0.0665209000 0.7513912000 0.2199979000 -0.0791411000
 0.0867828000 0.0439249000 0.0600000000 6.7392616000 -0.0429648000 -0.0748881000 0.7492582000 0.2215659000 -0.0776658000
 0.0893237000 0.0439249000 0.0600000000 6.7308149000 -0.0460930000 -0.0793179000 0.7447772000 0.2264394000 -0.0803180000
 0.0918646000 0.0439249000 0.0600000000 6.7251158000 -0.0447111000 -0.0839086000 0.7438375000 0.2262211000 -0.0826325000
 0.0944055000 0.0439249000 0.0600000000 6.7223129000 -0.0464409000 -0.0900319000 0.7438940000 0.2265010000 -0.0826759000
 0.0969463000 0.0439249000 0.0600000000 6.7200766000 -0.0502492000 -0.0910877000 0.7453434000 0.2259940000 -0.0824004000
 0.0994872000 0.0439249000 0.0600000000 6.7171845000 -0.0529334000 -0.0874026000 0.7472351000 0.2244347000 -0.0819840000
 0.1020281000 0.0439249000 0.0600000000 6.7150178000 -0.0484990000 -0.0879628000 0.7469923000 0.2229271000 -0.0793461000
 0.1045690000 0.0439249000 0.0600000000 6.7156544000 -0.0507079000 -0.0887974000 0.7510383000 0.2257738000 -0.0794885000
 0.1071099000 0.0439249000 0.0600000000 6.7158165000 -0.0519943000 -0.0905099000 0.7531751000 0.2279654000 -0.0804853000
 0.1096507000 0.0439249000 0.0600000000 6.7140250000 -0.0549955000 -0.0935154000 0.7530440000 0.2292797000 -0.0814649000
 0.1121916000 0.0439249000 0.0600000000 6.7103100000 -0.0602392000 -0.0964723000 0.7503787000 0.2291493000 -0.0820317000
 0.1147325000 0.0439249000 0.0600000000 6.7065282000 -0.0650115000 -0.0954213000 0.7446657000 0.2262212000 -0.0823909000
 0.1172734000 0.0439249000 0.0600000000 6.7034149000 -0.0612074000 -0.0956651000 0.7444578000 0.2256268000 -0.0836296000
 0.1198142000 0.0439249000 0.0600000000 6.6992874000 -0.0653579000 -0.0946307000 0.7479224000 0.2215999000 -0.0844697000
 0.1223551000 0.0439249000 0.0600000000 6.6958127000 -0.0697700000 -0.0932043000 0.7495267000 0.2181778000 -0.0843099000
 0.1248960000 0.0439249000 0.0600000000 6.6954494000 -0.0704696000 -0.0905208000 0.7477147000 0.2174186000 -0.0832730000
 0.1274369000 0.0439249000 0.0600000000 6.7021723000 -0.0706209000 -0.0824322000 0.7474030000 0.2178244000 -0.0825844000
 0.1299778000 0.0439249000 0.0600000000 6.7019711000 -0.0711422000 -0.0858287000 0.7452381000 0.2177764000 -0.0818334000
 0.1325186000 0.0439249000 0.0600000000 6.7008429000 -0.0732125000 -0.0902969000 0.7424209000 0.2190445000 -0.0808789000
 0.1350595000 0.0439249000 0.0600000000 6.6995621000 -0.0767112000 -0.0905169000 0.7390668000 0.2211158000 -0.0798693000
 0.1376004000 0.0439249000 0.0600000000 6.6981430000 -0.0808456000 -0.0855661000 0.7359906000 0.2227234000 -0.0792982000
 0.1401413000 0.0439249000 0.0600000000 6.6956482000 -0.0836806000 -0.0818609000 0.7355317000 0.2212575000 -0.0803661000
 0.1426822000 0.0439249000 0.0600000000 6.6919346000 -0.0838680000 -0.0761627000 0.7322057000 0.2196727000 -0.0802141000
 0.1452231000 0.0439249000 0.0600000000 6.6895781000 -0.0875692000 -0.0780711000 0.7330561000 0.2224883000 -0.0797177000
 0.1477639000 0.0439249000 0.0600000000 6.6868267000 -0.0901303000 -0.0832006000 0.7352192000 0.2240510000 -0.0778758000
 0.1503048000 0.0439249000 0.0600000000 6.6831889000 -0.0894399000 -0.0877656000 0.7360742000 0.2218093000 -0.0748022000
 0.1528457000 0.0439249000 0.0600000000 6.6820340000 -0.0901055000 -0.0911473000 0.7347821000 0.2209940000 -0.0732057000
 0.1553866000 0.0439249000 0.0600000000 6.6772947000 -0.0857226000 -0.0974504000 0.7374137000 0.2240275000 -0.0727030000
 0.1579274000 0.0439249000 0.0600000000 6.6743164000 -0.0894187000 -0.0995066000 0.7388042000 0.2259808000 -0.0704208000
 0.1604683000 0.0439249000 0.0600000000 6.6727695000 -0.0903712000 -0.0973834000 0.7373025000 0.2266933000 -0.0673360000
 0.1630092000 0.0439249000 0.0600000000 6.6718554000 -0.0835573000 -0.0944405000 0.7330309000 0.2268366000 -0.0647166000
 0.1655501000 0.0439249000 0.0600000000 6.6708918000 -0.0825767000 -0.1008268000 0.7294521000 0.2281081000 -0.0638466000
 0.1680910000 0.0439249000 0.0600000000 6.6686230000 -0.0888051000 -0.0997664000 0.7314949000 0.2300909000 -0.0622818000
 0.1706318000 0.0439249000 0.0600000000 6.6668663000 -0.0862057000 -0.1034154000 0.7347737000 0.2296990000 -0.0605894000
 0.1731727000 0.0439249000 0.0600000000 6.6646404000 -0.0804418000 -0.1064323000 0.7368495000 0.2304758000 -0.0601362000
 0.1757136000 0.0439249000 0.0600000000 6.6615124000 -0.0784705000 -0.1041587000 0.7365944000 0.2341787000 -0.0621686000
